midi_file,path,composer,piano_roll_file
040700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,040700b_.npy
Bwv027.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv027.6.npy
041700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,041700b_.npy
025200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,025200b_.npy
065500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,065500b_.npy
064500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,064500b_.npy
008405b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,008405b_.npy
036600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,036600b_.npy
037600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,037600b_.npy
024514b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024514b_.npy
015505b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,015505b_.npy
014505b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014505b_.npy
013705b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,013705b_.npy
012705b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012705b_.npy
011506bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,011506bv.npy
017206ch.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017206ch.npy
076902b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,076902b_.npy
030400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,030400b_.npy
031400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,031400b_.npy
Bwv007.7.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv007.7.npy
042900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,042900b_.npy
010107b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010107b_.npy
014806bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014806bv.npy
029800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,029800b_.npy
028800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,028800b_.npy
Bwv036(2).8.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv036(2).8.npy
035900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,035900b_.npy
034900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,034900b_.npy
024410b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024410b_.npy
003706b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,003706b_.npy
025300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,025300b_.npy
018007bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,018007bv.npy
041600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,041600b_.npy
040600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,040600b_.npy
038200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,038200b_.npy
Bwv025.6v1.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv025.6v1.npy
039200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,039200b_.npy
018707b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,018707b_.npy
006005b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006005b_.npy
019406b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,019406b_.npy
005605b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,005605b_.npy
026500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,026500b_.npy
027500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,027500b_.npy
007007b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007007b_.npy
043000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,043000b_.npy
042000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,042000b_.npy
019705b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,019705b_.npy
022602bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,022602bv.npy
017906b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017906b_.npy
004008b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004008b_.npy
014403b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014403b_.npy
015403b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,015403b_.npy
012406b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012406b_.npy
032200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,032200b_.npy
033200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033200b_.npy
033500bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033500bv.npy
Bwv005.7.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv005.7.npy
024835b3.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024835b3.npy
028100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,028100b_.npy
029100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,029100b_.npy
Bwv025.6v2.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv025.6v2.npy
034000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,034000b_.npy
035000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,035000b_.npy
015606b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,015606b_.npy
066300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,066300b_.npy
008008b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,008008b_.npy
010006b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010006b_.npy
Bwv031.9.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv031.9.npy
031600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,031600b_.npy
030600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,030600b_.npy
037400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,037400b_.npy
036400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,036400b_.npy
013705ch.mid,./data/Bach/Bwv001- 400 Chorales,Bach,013705ch.npy
Bwv002.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv002.6.npy
064700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,064700b_.npy
065700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,065700b_.npy
016206b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,016206b_.npy
017206b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017206b_.npy
015705b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,015705b_.npy
037300bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,037300bv.npy
024415b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024415b_.npy
004106bs.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004106bs.npy
040400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,040400b_.npy
004407b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004407b_.npy
041400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,041400b_.npy
032900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,032900b_.npy
025100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,025100b_.npy
033900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033900b_.npy
Bwv003.6v.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv003.6v.npy
Bwv026.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv026.6.npy
022711b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,022711b_.npy
039000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,039000b_.npy
038000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,038000b_.npy
007614b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007614b_.npy
006408b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006408b_.npy
024511b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024511b_.npy
070000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,070000b_.npy
066800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,066800b_.npy
007408b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007408b_.npy
Bwv006.3.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv006.3.npy
011704v1.mid,./data/Bach/Bwv001- 400 Chorales,Bach,011704v1.npy
017807b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017807b_.npy
Bwv024.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv024.6.npy
013702b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,013702b_.npy
076905b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,076905b_.npy
006106b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006106b_.npy
Bwv004.8v.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv004.8v.npy
042200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,042200b_.npy
043200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,043200b_.npy
027700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,027700b_.npy
026700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,026700b_.npy
029300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,029300b_.npy
028300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,028300b_.npy
008506b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,008506b_.npy
066100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,066100b_.npy
024417b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024417b_.npy
014406b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014406b_.npy
035200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,035200b_.npy
034200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,034200b_.npy
Bwv019.7.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv019.7.npy
033000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033000b_.npy
032000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,032000b_.npy
025800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,025800b_.npy
012606b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012606b_.npy
060800b_ .mid,./data/Bach/Bwv001- 400 Chorales,Bach,060800b_ .npy
013606b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,013606b_.npy
024537b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024537b_.npy
011704v2.mid,./data/Bach/Bwv001- 400 Chorales,Bach,011704v2.npy
038900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,038900b_.npy
039900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,039900b_.npy
Bwv020.7.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv020.7.npy
024853b5.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024853b5.npy
024809bs.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024809bs.npy
016907b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,016907b_.npy
018405b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,018405b_.npy
010806b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010806b_.npy
026600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,026600b_.npy
027600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,027600b_.npy
043300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,043300b_.npy
042300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,042300b_.npy
005505b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,005505b_.npy
069400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,069400b_.npy
024462bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024462bv.npy
024517b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024517b_.npy
017705bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017705bv.npy
066000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,066000b_.npy
004311b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004311b_.npy
034300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,034300b_.npy
035300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,035300b_.npy
003907bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,003907bv.npy
008707b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,008707b_.npy
028200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,028200b_.npy
029200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,029200b_.npy
011205b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,011205b_.npy
024437b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024437b_.npy
039800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,039800b_.npy
038800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,038800b_.npy
076901b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,076901b_.npy
025900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,025900b_.npy
032100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,032100b_.npy
033100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033100b_.npy
006906bav.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006906bav.npy
006906b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006906b_.npy
011106b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,011106b_.npy
007906b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007906b_.npy
015309b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,015309b_.npy
030700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,030700b_.npy
031700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,031700b_.npy
010207b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010207b_.npy
024528b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024528b_.npy
009209b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,009209b_.npy
024809b1.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024809b1.npy
076903b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,076903b_.npy
024515B_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024515B_.npy
024812b2.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024812b2.npy
036500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,036500b_.npy
037500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,037500b_.npy
065600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,065600b_.npy
064600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,064600b_.npy
007305b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007305b_.npy
038100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,038100b_.npy
039100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,039100b_.npy
033800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033800b_.npy
025000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,025000b_.npy
032800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,032800b_.npy
041500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,041500b_.npy
004507b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004507b_.npy
040500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,040500b_.npy
004606b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004606b_.npy
070100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,070100b_.npy
024454b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024454b_.npy
Bwv006.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv006.6.npy
039400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,039400b_.npy
038400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,038400b_.npy
025500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,025500b_.npy
024842bs.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024842bs.npy
040000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,040000b_.npy
013807b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,013807b_.npy
041000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,041000b_.npy
031200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,031200b_.npy
030200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,030200b_.npy
010707b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010707b_.npy
010406b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010406b_.npy
Bwv013.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv013.6.npy
009408b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,009408b_.npy
009709b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,009709b_.npy
014004b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014004b_.npy
012008ba.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012008ba.npy
015305b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,015305b_.npy
Bwv004.8.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv004.8.npy
016606b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,016606b_.npy
017606b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017606b_.npy
024805b1.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024805b1.npy
024823b2.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024823b2.npy
024823bs.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024823bs.npy
065300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,065300b_.npy
007011b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007011b_.npy
017507b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017507b_.npy
037000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,037000b_.npy
019412b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,019412b_.npy
036000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,036000b_.npy
035600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,035600b_.npy
034600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,034600b_.npy
003806b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,003806b_.npy
066500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,066500b_.npy
009106b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,009106b_.npy
009207b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,009207b_.npy
024526b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024526b_.npy
024864bs.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024864bs.npy
029700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,029700b_.npy
028700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,028700b_.npy
066800com.mid,./data/Bach/Bwv001- 400 Chorales,Bach,066800com.npy
006402b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006402b_.npy
Bwv011.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv011.6.npy
012206b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012206b_.npy
033400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033400b_.npy
032400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,032400b_.npy
024846b5.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024846b5.npy
041900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,041900b_.npy
040900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,040900b_.npy
024429bb.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024429bb.npy
036900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,036900b_.npy
037900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,037900b_.npy
027300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,027300b_.npy
026300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,026300b_.npy
042600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,042600b_.npy
007607b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007607b_.npy
043600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,043600b_.npy
004803b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004803b_.npy
069100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,069100b_.npy
012805b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012805b_.npy
Bwv008.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv008.6.npy
006206bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006206bv.npy
017405b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017405b_.npy
028600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,028600b_.npy
029600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,029600b_.npy
009307b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,009307b_.npy
034700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,034700b_.npy
035700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,035700b_.npy
066400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,066400b_.npy
024842b4.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024842b4.npy
013306b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,013306b_.npy
012306b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012306b_.npy
060600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,060600b_.npy
040800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,040800b_.npy
004807b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004807b_.npy
041800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,041800b_.npy
032500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,032500b_.npy
033500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033500b_.npy
006502b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006502b_.npy
005708b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,005708b_.npy
073300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,073300b_.npy
Bwv028.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv028.6.npy
024522b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024522b_.npy
037800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,037800b_.npy
036800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,036800b_.npy
015804b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,015804b_.npy
024859b6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024859b6.npy
022602b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,022602b_.npy
024864b6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024864b6.npy
069000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,069000b_.npy
005903b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,005903b_.npy
012905b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012905b_.npy
043700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,043700b_.npy
042700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,042700b_.npy
006707b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006707b_.npy
026200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,026200b_.npy
027200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,027200b_.npy
005206b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,005206b_.npy
019406bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,019406bv.npy
014710b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014710b_.npy
041100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,041100b_.npy
040100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,040100b_.npy
025400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,025400b_.npy
019707ba.mid,./data/Bach/Bwv001- 400 Chorales,Bach,019707ba.npy
019007b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,019007b_.npy
Bwv030.6v.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv030.6v.npy
018007b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,018007b_.npy
038500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,038500b_.npy
007903bs.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007903bs.npy
039500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,039500b_.npy
006404b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006404b_.npy
014907ch.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014907ch.npy
008906b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,008906b_.npy
009906b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,009906b_.npy
024310b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024310b_.npy
015301b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,015301b_.npy
014806b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014806b_.npy
004003b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004003b_.npy
010107bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010107bv.npy
030300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,030300b_.npy
031300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,031300b_.npy
011506b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,011506b_.npy
010506b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010506b_.npy
015408b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,015408b_.npy
065200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,065200b_.npy
014505bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014505bv.npy
064200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,064200b_.npy
008305b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,008305b_.npy
036100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,036100b_.npy
Bwv017.7.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv017.7.npy
037100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,037100b_.npy
Bwv033.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv033.6.npy
033700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033700b_.npy
032700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,032700b_.npy
012106b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012106b_.npy
018806b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,018806b_.npy
012606bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012606bv.npy
011704b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,011704b_.npy
069100orn.mid,./data/Bach/Bwv001- 400 Chorales,Bach,069100orn.npy
008107b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,008107b_.npy
029400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,029400b_.npy
028400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,028400b_.npy
019710b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,019710b_.npy
024417bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024417bv.npy
066600b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,066600b_.npy
014007b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014007b_.npy
